school_id,ลำดับ,รหัส,รายการ,รายการ(cm.),จำนวนที่ใช้ได้,จำนวนรอซ่อม,จำนวนรอจำหน่าย
1020080035,3,11003,ครุภัณฑ์การศึกษา,ตู้เก็บอุปกรณ์นักเรียนก่อนประถมศึกษา,5,0,0
1020080035,4,21001,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องถ่ายเอกสาร,2,0,0
1020080035,5,21002,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องพิมพ์สำเนาระบบดิจิตอล,0,0,0
1020080035,6,21003,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องโทรสาร,1,0,0
1020080035,7,21004,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องอัดสำเนา,0,0,0
1020080035,8,21005,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องพิมพ์ดีด,0,0,0
1020080035,9,21006,ครุภัณฑ์สำนักงาน โรงเรียน,ตู้นิรภัย,0,0,0
1020080035,10,21007,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องไมโครคอมพิวเตอร์,4,0,0
1020080035,11,21008,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องพิมพ์ (Printer),6,0,0
1020080035,12,21009,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องเจาะกระดาษและเข้าเล่ม,0,0,0
1020080035,13,21010,ครุภัณฑ์สำนักงาน โรงเรียน,เครื่องถ่ายภาพนิ่งระบบดิจิตอล,0,0,0
1020080035,14,21011,ครุภัณฑ์สำนักงาน/โรงเรียน,คอมพิวเตอร์พกพา(Tablet)(ใช้บริหารจัดการ),0,0,0
1020080035,15,21012,ครุภัณฑ์สำนักงาน/โรงเรียน,เครื่องคอมพิวเตอร์พกพา(Notebook)(ใช้บริหารจัดการ),4,0,0
1020080035,16,21013,ครุภัณฑ์สำนักงาน/โรงเรียน,กล้องถ่ายภาพดิจิตอล,0,0,0
1020080035,17,22001,ครุภัณฑ์การศึกษา,โต๊ะเก้าอี้นักเรียน ประถมศึกษา,287,60,48
1020080035,18,22002,ครุภัณฑ์การศึกษา,โต๊ะเก้าอี้นักเรียน มัธยมศึกษา,178,60,50
1020080035,19,22003,ครุภัณฑ์การศึกษา,ครุภัณฑ์การสอนวิทยาศาสตร์ ประถมศึกษา,0,0,0
1020080035,20,22004,ครุภัณฑ์การศึกษา,ครุภัณฑ์อุปกรณ์วิทยาศาสตร์ ม.ต้น,5,5,5
1020080035,21,22005,ครุภัณฑ์การศึกษา,ครุภัณฑ์วิทยาศาสตร์ ม.ปลาย,0,0,0
1020080035,22,22006,ครุภัณฑ์การศึกษา,หุ่นจำลองแสดงอวัยวะภายในมนุษย์,0,0,0
1020080035,23,22007,ครุภัณฑ์การศึกษา,ครุภัณฑ์ไฟฟ้า,24,0,0
1020080035,24,22008,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานอาหารและโภชนาการ,929,0,0
1020080035,25,22009,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานผ้าและการตัดเย็บ,0,0,0
1020080035,26,22010,ครุภัณฑ์การศึกษา,ครุภัณฑ์โรงฝึกงาน,0,0,0
1020080035,27,22011,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานไม้,5,0,0
1020080035,28,22012,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานโลหะ,4,0,0
1020080035,29,22013,ครุภัณฑ์การศึกษา,ครุภัณฑ์ชางอุตสาหกรรม,0,0,0
1020080035,30,22014,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานยนต์,0,0,0
1020080035,31,22015,ครุภัณฑ์การศึกษา,ครุภัณฑ์วิชาคหกรรม,9,0,0
1020080035,32,22016,ครุภัณฑ์การศึกษา,ครุภัณฑ์วิชาศิลปกรรม,0,0,0
1020080035,33,22017,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องปฏิบัติการเพาะเห็ด,0,0,0
1020080035,34,22018,ครุภัณฑ์การศึกษา,ฃุดอุปกรณ์วิชาชีพเกษตรกรรม,0,0,0
1020080035,35,22019,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานเขียนแบบ ม.ต้น,1,0,0
1020080035,36,22020,ครุภัณฑ์การศึกษา,เครื่องดนตรีสากล,18,0,32
1020080035,37,22021,ครุภัณฑ์การศึกษา,เครื่องดนตรีไทย ชุดเล็ก ประถมศึกษา,2,0,0
1020080035,38,22022,ครุภัณฑ์การศึกษา,เครื่องดนตรีไทย ชุดใหญ่ มัธยมศึกษา,0,0,0
1020080035,39,22023,ครุภัณฑ์การศึกษา,ชุดอุปกรณ์วิชาพลานามัย,0,0,0
1020080035,40,22024,ครุภัณฑ์การศึกษา,โต๊ะเทเบิลเทนนิส,0,0,0
1020080035,41,22025,ครุภัณฑ์การศึกษา,ชุดอุปกรณ์เปตอง,0,0,0
1020080035,42,22026,ครุภัณฑ์การศึกษา,โทรทัศน์สี,5,10,0
1020080035,43,22027,ครุภัณฑ์การศึกษา,วิทยุ - เทป - ซีดี,0,0,0
1020080035,44,22028,ครุภัณฑ์การศึกษา,เครื่องเล่น ดีวีดี,0,0,0
1020080035,45,22029,ครุภัณฑ์การศึกษา,จานรับสัญญาณดาวเทียม,2,0,0
1020080035,46,22030,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องสมุด ชุดเล็ก ประถมศึกษา,0,0,0
1020080035,47,22031,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องสมุด ชุดใหญ่ มัธยมศึกษา,0,0,0
1020080035,48,22032,ครุภัณฑ์การศึกษา,เครื่องมัลติมีเดียโปรเจคเตอร์ LCD,3,1,3
1020080035,49,22033,ครุภัณฑ์การศึกษา,เครื่องไมโครคอมพิวเตอร์,60,0,31
1020080035,50,22034,ครุภัณฑ์การศึกษา,เครื่องพิมพ์ (Printer),2,0,1
1020080035,51,22035,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องสมุดรร.ระดับประถมศึกษา-มัธยมศึกษา,0,0,0
1020080035,52,22036,ครุภัณฑ์การศึกษา,ครุภัณฑ์พัฒนาทักษะคิดวิเคราะห์ระดับก่อนประถมศึกษา,0,0,0
1020080035,53,22037,ครุภัณฑ์การศึกษา,ครุภัณฑ์พัฒนาทักษะคิดวิเคราะห์ระดับประถมศึกษา,0,0,0
1020080035,54,22038,ครุภัณฑ์การศึกษา,อุปกรณ์ศูนย์การเรียนรร.ขนาดเล็ก,0,0,0
